time_s,elapsed_s,estimate_x_m,estimate_y_m,estimate_yaw_rad,gt_x_m,gt_y_m,gt_yaw_rad,position_error_m,yaw_error_rad,abs_yaw_error_rad,pair_dt_s,amcl_covariance_xy,amcl_covariance_yaw
63.540000000,27.260000000,1.587318341,1.367539021,3.109188623,1.982056907,1.359364035,3.100620690,0.394823209,0.008567933,0.008567933,0.000000000,0.001344159,0.000519755
63.740000000,27.460000000,1.528117028,1.367520512,-3.072887685,1.940815559,1.387845808,-3.080137706,0.413198736,0.007250021,0.007250021,0.000000000,0.001332795,0.000430389
63.940000000,27.660000000,1.468397372,1.362763293,-2.967150672,1.894901788,1.410126929,-2.972520526,0.429126241,0.005369854,0.005369854,0.000000000,0.001269948,0.000346678
64.120000000,27.840000000,1.416699672,1.352517162,-2.859204627,1.839352315,1.421865717,-2.845622256,0.428304189,-0.013582370,0.013582370,0.020000000,0.001282160,0.000314117
64.260000000,27.980000000,1.379039144,1.340493135,-2.759069792,1.798962468,1.425360914,-2.758815123,0.428413513,-0.000254669,0.000254669,0.000000000,0.001332783,0.000281251
64.420000000,28.140000000,1.336650925,1.322772292,-2.647961648,1.741708796,1.433135285,-2.647607985,0.419823617,-0.000353663,0.000353663,0.000000000,0.001324528,0.000284128
65.020000000,28.740000000,1.185964980,1.230463391,-2.582208088,1.582850971,1.359870406,-2.593191010,0.417450195,0.010982922,0.010982922,0.000000000,0.001298002,0.000361303
65.620000000,29.340000000,1.036798879,1.138684127,-2.585874036,1.429142792,1.265859069,-2.593162511,0.412440556,0.007288475,0.007288475,0.000000000,0.001236300,0.000405904
66.220000000,29.940000000,0.883863488,1.046624125,-2.587366247,1.275502302,1.172211262,-2.593113360,0.411282250,0.005747114,0.005747114,0.000000000,0.001392033,0.000497561
66.820000000,30.540000000,0.730967591,0.955046313,-2.588318104,1.122093636,1.078573361,-2.593276656,0.410168886,0.004958551,0.004958551,0.000000000,0.001388236,0.000569532
67.420000000,31.140000000,0.578528085,0.864764149,-2.591149595,0.968574301,0.984735493,-2.593010756,0.408079862,0.001861161,0.001861161,0.000000000,0.001424722,0.000532124
70.280000000,34.000000000,0.428980503,0.772484184,-2.570665212,0.809218426,0.891310054,-2.573256908,0.398372271,0.002591696,0.002591696,0.020000000,0.001512922,0.000612460
71.860000000,35.580000000,0.280178472,0.677473311,-2.572868647,0.659398813,0.795862019,-2.574398963,0.397270629,0.001530316,0.001530316,0.000000000,0.001596839,0.000653403
72.760000000,36.480000000,0.127598217,0.581590582,-2.571624183,0.504225380,0.696896833,-2.574051118,0.393882662,0.002426935,0.002426935,0.020000000,0.001873667,0.000718176
73.660000000,37.380000000,-0.022188615,0.485269860,-2.549483753,0.380418260,0.610050515,-2.549278035,0.421500306,-0.000205718,0.000205718,0.000000000,0.002166664,0.000857371
74.580000000,38.300000000,-0.173981242,0.381821130,-2.523137875,0.232454304,0.509487399,-2.522108824,0.426014705,-0.001029051,0.001029051,0.000000000,0.002397378,0.000883934
75.510000000,39.230000000,-0.324589884,0.275004709,-2.514454119,0.024821034,0.360402570,-2.512452085,0.359695404,-0.002002034,0.002002034,0.010000000,0.002635933,0.000901502
76.420000000,40.140000000,-0.466243171,0.159023942,-2.410066570,-0.164266092,0.231388162,-2.406403567,0.310526547,-0.003663003,0.003663003,0.000000000,0.002614508,0.000807093
76.840000000,40.560000000,-0.523411687,0.099742557,-2.307709554,-0.241023993,0.192235337,-2.302385256,0.297149329,-0.005324298,0.005324298,0.020000000,0.002564308,0.000773194
77.330000000,41.050000000,-0.581352297,0.024248938,-2.204524046,-0.292938125,0.179502119,-2.200552080,0.327545852,-0.003971966,0.003971966,0.010000000,0.002695168,0.000802642
77.730000000,41.450000000,-0.623776104,-0.037828672,-2.105463110,-0.343095255,0.147863497,-2.096256174,0.336546164,-0.009206936,0.009206936,0.010000000,0.002883457,0.000763986
78.010000000,41.730000000,-0.649499414,-0.086269963,-2.000906956,-0.381370270,0.107936930,-1.987958028,0.331073338,-0.012948928,0.012948928,0.010000000,0.003001376,0.000819712
78.290000000,42.010000000,-0.671716533,-0.133295690,-1.891416566,-0.413241252,0.061481171,-1.877981785,0.323647179,-0.013434782,0.013434782,0.010000000,0.003193071,0.000814190
79.070000000,42.790000000,-0.711486137,-0.278907859,-1.829399954,-0.466552204,-0.065330431,-1.825159482,0.324973768,-0.004240472,0.004240472,0.010000000,0.003360515,0.000779719
80.210000000,43.930000000,-0.751034010,-0.425852130,-1.832302768,-0.506907800,-0.220941699,-1.825918121,0.318725416,-0.006384648,0.006384648,0.010000000,0.003664853,0.000762041
81.790000000,45.510000000,-0.797834058,-0.572408396,-1.887114848,-0.555036522,-0.373021682,-1.878490010,0.314174641,-0.008624838,0.008624838,0.010000000,0.003936691,0.000743824
83.410000000,47.130000000,-0.849687161,-0.720767961,-1.903290101,-0.616609210,-0.564420993,-1.893547826,0.280659412,-0.009742276,0.009742276,0.010000000,0.004278166,0.000685560
84.580000000,48.300000000,-0.902732193,-0.868324918,-1.907440386,-0.668490608,-0.714687641,-1.898791425,0.280131278,-0.008648960,0.008648960,0.000000000,0.004556037,0.000695564
85.380000000,49.100000000,-0.955993514,-1.015884421,-1.909121796,-0.719999851,-0.866160561,-1.898702181,0.279482098,-0.010419615,0.010419615,0.000000000,0.004657530,0.000665231
86.180000000,49.900000000,-1.007699170,-1.162958303,-1.909627662,-0.771558642,-1.017664474,-1.898784794,0.277259166,-0.010842867,0.010842867,0.000000000,0.004778683,0.000790406
87.300000000,51.020000000,-1.057725995,-1.309867690,-1.911165439,-0.823534842,-1.169167140,-1.899890529,0.273207139,-0.011274910,0.011274910,0.000000000,0.005062869,0.000805937
88.520000000,52.240000000,-1.111698424,-1.458165947,-1.912007187,-0.873015605,-1.315505621,-1.900519006,0.278067360,-0.011488181,0.011488181,0.020000000,0.005007467,0.000754258
89.320000000,53.040000000,-1.159899953,-1.604152171,-1.910074876,-0.924813102,-1.466814940,-1.900814169,0.272263369,-0.009260708,0.009260708,0.020000000,0.004703186,0.000664924
90.120000000,53.840000000,-1.210092095,-1.753403762,-1.909186143,-0.979666124,-1.625906497,-1.901156515,0.263347073,-0.008029628,0.008029628,0.020000000,0.004856607,0.000678804
91.600000000,55.320000000,-1.267072708,-1.899576416,-1.930405912,-1.019244401,-1.760149225,-1.922542849,0.284356838,-0.007863064,0.007863064,0.020000000,0.004816821,0.000722885
92.340000000,56.060000000,-1.295056430,-1.966811042,-2.031127329,-1.012076387,-1.802457306,-2.028744395,0.327245864,-0.002382934,0.002382934,0.000000000,0.005070302,0.000674400
92.740000000,56.460000000,-1.309540630,-1.997746892,-2.132407428,-1.014171982,-1.851298380,-2.131934622,0.329681369,-0.000472806,0.000472806,0.000000000,0.005164953,0.000714902
94.560000000,58.280000000,-1.400294101,-2.148511752,-2.032572936,-1.165324453,-2.119778713,-2.009188186,0.236719925,-0.023384750,0.023384750,0.020000000,0.005012584,0.000775335
94.720000000,58.440000000,-1.405610086,-2.161649666,-1.923214232,-1.158212071,-2.108985313,-1.894046367,0.252941321,-0.029167865,0.029167865,0.020000000,0.005088395,0.000761261
94.860000000,58.580000000,-1.409175153,-2.175300068,-1.810340422,-1.153090765,-2.093982907,-1.799528273,0.268685122,-0.010812149,0.010812149,0.000000000,0.004881912,0.000725641
94.980000000,58.700000000,-1.403828990,-2.190095226,-1.698090082,-1.135004635,-2.093020695,-1.685042699,0.285814622,-0.013047383,0.013047383,0.000000000,0.004771209,0.000697050
95.080000000,58.800000000,-1.397135334,-2.200437398,-1.577422741,-1.097443673,-2.116137654,-1.540826691,0.311322242,-0.036596050,0.036596050,0.020000000,0.004250014,0.000600234
95.180000000,58.900000000,-1.392347972,-2.208816563,-1.453405676,-1.087182081,-2.122938650,-1.443528045,0.317019300,-0.009877631,0.009877631,0.000000000,0.003277734,0.000506132
95.280000000,59.000000000,-1.388596879,-2.217291845,-1.331472872,-1.087398342,-2.125140623,-1.299246518,0.314980009,-0.032226354,0.032226354,0.020000000,0.003209040,0.000504257
95.380000000,59.100000000,-1.385294034,-2.226005900,-1.214388392,-1.088157209,-2.128635929,-1.210736972,0.312683872,-0.003651420,0.003651420,0.000000000,0.003362596,0.000495477
95.480000000,59.200000000,-1.376421137,-2.234631033,-1.102400032,-1.087045737,-2.135365250,-1.079588639,0.305927798,-0.022811393,0.022811393,0.020000000,0.003135401,0.000444632
95.580000000,59.300000000,-1.372649711,-2.237983884,-0.987898432,-1.084118569,-2.141271053,-0.988686269,0.304308382,0.000787837,0.000787837,0.000000000,0.002984225,0.000412529
95.680000000,59.400000000,-1.365026647,-2.246439827,-0.874370749,-1.076538010,-2.150563581,-0.871712291,0.304003205,-0.002658458,0.002658458,0.020000000,0.002970664,0.000388217
97.400000000,61.120000000,-1.230898375,-2.393723366,-0.832876888,-0.937113750,-2.310357441,-0.859027793,0.305383830,0.026150905,0.026150905,0.020000000,0.003158048,0.000430005
98.400000000,62.120000000,-1.094801291,-2.543404292,-0.836326417,-0.810218347,-2.458218888,-0.861863059,0.297058925,0.025536642,0.025536642,0.020000000,0.003485886,0.000541237
99.400000000,63.120000000,-0.954602928,-2.693275632,-0.834792889,-0.680137965,-2.610127662,-0.861990758,0.286783196,0.027197869,0.027197869,0.020000000,0.003822737,0.000748018
100.380000000,64.100000000,-0.814234586,-2.841048807,-0.832134583,-0.552272067,-2.758729509,-0.863595163,0.274592113,0.031460580,0.031460580,0.000000000,0.003479362,0.000787234
101.040000000,64.760000000,-0.675570373,-2.986938058,-0.830738809,-0.426877686,-2.906649269,-0.866698541,0.261331863,0.035959732,0.035959732,0.020000000,0.003445045,0.000797562
101.700000000,65.420000000,-0.535364780,-3.133944411,-0.826690883,-0.300597396,-3.055147889,-0.866598837,0.247638076,0.039907953,0.039907953,0.000000000,0.003564220,0.000946917
102.360000000,66.080000000,-0.389413807,-3.283204583,-0.821111073,-0.170260912,-3.208630419,-0.867158520,0.231493623,0.046047447,0.046047447,0.020000000,0.003359257,0.000902381
103.020000000,66.740000000,-0.250922601,-3.428082326,-0.820347895,-0.046212416,-3.354808851,-0.867216229,0.217428751,0.046868334,0.046868334,0.000000000,0.003392728,0.000988193
103.680000000,67.400000000,-0.111800613,-3.575328838,-0.818743337,0.088440556,-3.513309080,-0.867692000,0.209625800,0.048948663,0.048948663,0.020000000,0.003682845,0.001045588
104.340000000,68.060000000,0.029984166,-3.720104991,-0.816325788,0.209290250,-3.656213905,-0.867826790,0.190349003,0.051501002,0.051501002,0.000000000,0.003739150,0.001031259
